Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
15737,MASTERPIECES OF THE PERGAMON AND BODE MUSEUM,,\priese Karl-Heinz et al,Verlag Philipp von Zabern,,,,,908,PER,,,,,
15835,MODERN MASTERS '89,Helsinki Art Hall,a Finn,Helsinki Art Hall,,,,,708,FIN,,,,,
13834,COLLECTED POEMS BY A.E.,,A.E.,Macmillan and Co,1926,,,,821,A.E,,,,,
10630,PHILOSOPHY OF UNION BY DEVOTION ~ THE,An English Translation of the Yogacharya Sri Srimat Abadhuta Jnananda Deva's Ehakti-Yoga-Darsan,ABADHUTA - SRIMAT SWAMI NTYAPADANANDA,Mahanirban Math West Bengal,1953,,Religion,Other Religions - Brahmanism & Related,294,ABA,,,,,
12700,ART NOUVEAU,The Style of the 1890's,ABBATE - FRANCESCO,Octopus Books,1972,7064 0026 7,The Arts,Philosophy & Theory,701,ABB,,,,,
12798,JAPANESE ART,And Korean Art,ABBATE - FRANCESCO (ED),Octopus Books,1972,7064 0026 7,The Arts,Philosophy & Theory,701,ABB,,,,,
15620,CHRISTIAN ART,of the 4th to 12th centuries,Abbate - Francesco (ed.),Octopus Books,1972,7064-0063-1,,,709,ABB,,,,,
11030,HISTORY OF WILLIAM THE CONQUEROR,,ABBOTT - JACOB,Nathaniel Cooke - London,1853,,History,Europe - England,942,ABB,,,,,
10014,KANT'S CRITIQUE OF PRACTICAL REASON AND OTHER WORKS ON THE THEORY OF ETHICS,,ABBOTT - THOMAS KINGSMILL (TRANS. & ED.),Longmans Green & Co. London,1879,,Philosophy,Ethics - Ethical Theories,171,ABB,,,,,
13510,LIFE OF TUKARAM,translation from Mahipati's Bhaktalilamrita chapter 25-40,Abbott - Justin E.,Motilal Banarsidass,1993,81-208-0170-9,,,294.563,TUR,,,,,
3390,Buddha,Life and Work of the Forerunner in India,Abd-ru-shin,Alexander Bernhardt,1987,3-87860-153-0,,,270,ABD,,,,,
13390,Buddha,Life and Work of the Forerunner in India,Abd-ru-shin,Alexander Bernhardt - Tyrol,1987,3-87860-153-0,,,270,ABD,,,,,
12090,ZEN MACROBIOTIC COOKING,Traditional and Oriental Zen Recipes,ABEHSERA - MICHEL,Albyn Press - Edinburgh,1971,,Technology,Home Economics - Food,641,ABE,,,,,
14394,THE EVANGELIST OF DESIRE: JOHN WESLEY AND THE METHODISTS,,Abelove - Henry,Stanford University Press,1990,,,,287,ABE,,,,,
11412,DICTIONARY OF BIOLOGY ~ A,,ABERCROMBIE - M. - C. J. HICKMAN & M. L. JOHNSON,Penguin Books,1961,,Pure Science,Anthropology & Biology - Biology,574,ABE,,,,,
15064,GITARTHASANGRAHA,Translated and with a critical study by Arvind Sharma,Abhinavagupta,E.J.Brill,1983,90-04-06736-1,,,294.552,ABH,,,,,
10615,PARATRISIKA-VIVARANA,The Secret of Tantric Mysticism,ABHINAVAGUPTA,Motilal Banarsidass - Delhi,1988,81-208-0462-7,Religion,Other Religions - Brahmanism & Related,294,ABH,,,,,
15978,PARATRISIKA-VIVARANA,The Secret of Tantric Mysticism,Abhinavagupta,Motilal Banarsidass,1988,81-208-0472-4,,,294.55,ABH,,,,,
15034,THE CONCISE OXFORD HISTORY OF MUSIC,,Abraham - Graham,Readers Union,1979,,,,780,OXF,,,,,
15842,MADEIRA :  PORTO SANTO,,Abreu - Mauricio,,1993,,,,946,MAD,,,,,
