Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
11202	Life of Jesus			Jonathan Cape - London	1926		Religion	Doctrinal Theology - Jesus Christ	213.2	MUR		232	MUR		****			
10287	"Phenomenon of Man, The"		"Chardin, Pierre Teilhard de"	Wm. Collins Sons & Co. Ltd. - London	1961		Pure Science	Anthropology & Biology - Anthropology	572	CHA		572	CHA					
10366	Biochemistry (Teach Yourself Books)		"Jellinck, P H"	The English Universities Press Ltd. - London	1960		Pure Science	Chemistry - Organic Chemistry	547	JEL		574.8	JEL					
11053	Biochemistry (Teach Yourself Books)		"Jellinck, P H"	The English Universities Press Ltd. - London	1962		Pure Science	Chemistry - Organic Chemistry	547	JEL		574.8	JEL					
10741	Life on Other Worlds		"Jones, H Spencer"	The English Universities Press Ltd. - London	1940		Pure Science	Astronomy & Allied Sciences	520	JON		520	JON					
13834	Collected Poems 		A.E.	Macmillan and Co	1926				821	A.E		821	AE					
	Collected Poems		A.E.	Macmillan and Co Ltd	1913							821	AE					
10630	"Philosophy of Union By Devotion, The"	An English Translation of the Yogacharya Sri Srimat Abadhuta Jnananda Deva's Ehakti-Yoga-Darsan	"Abadhuta, Srimat Swami Ntyapadananda"	Mahanirban Math West Bengal	1953		Religion	Other Religions - Brahmanism & Related	294	ABA		294.5	ABA					
12700	Art Nouveau	The Style of the 1890's	"Abbate, Francesco"	Octopus Books	1972	7064 0026 7	The Arts	Philosophy & Theory	701	ABB		709	ABB					
12798	Japanese Art and Korean Art		"Abbate, Francesco"	Octopus Books	1972	7064 0026 7	The Arts	Philosophy & Theory	701	ABB		709	ABB					
15620	Christian Art of the 4th to 12th Century		"Abbate, Francesco (Ed)"	Octopus Books	1972	7064-0063-1			709	ABB		709	ABB					
	Stories of Indian Saints		"Abbot, Justin E, & Godbole, N.R."	Motilal Banarsidass	1996	81-208-0469-4						294.5	ABB					
